,Ticker,Timestamp,SDG_Mean_ADJ,SDG_STD_Mean,SDG_News_Volume_Mean
1589153,YUM,2014-08-03,-4.640028368634883,1.3378149133648518,36.3
1590164,YUM,2017-05-10,-4.501334460085639,3.5310838657197277,36.375
664155,GRMN,2016-12-13,-4.13200006679181,3.1010224186702944,37.375
664230,GRMN,2017-02-26,-4.909841320757245,1.9481296339805358,90.41176470588236
664233,GRMN,2017-03-01,-4.54756560126469,3.3429082227656917,129.125
664334,GRMN,2017-06-10,-5.145199495408964,2.6199399596094075,31.5
664603,GRMN,2018-03-06,-4.503570152129871,3.470279494647124,36.846153846153854
664663,GRMN,2018-05-05,-4.84032905437122,3.33435406201434,34.92857142857143
813934,JNPR,2017-06-28,-4.981763797523287,1.6531268957572312,62.0
1457667,URBN,2014-09-15,-4.854206340146822,1.860144332407564,77.11764705882355
985307,MOS,2013-08-08,-3.7132195258556977,1.9338316485143527,32.6875
363887,COP,2013-12-05,-4.266871015535092,2.765605901744336,40.2
365548,COP,2018-06-23,-4.416010232396848,2.0342094948883425,78.52941176470588
1434247,UAL,2014-02-18,-5.613563775915559,2.4607118093933846,61.8125
1435531,UAL,2017-08-25,-4.939810915571668,1.9946783523509144,189.7647058823529
1324047,SRE,2016-01-16,-5.799297218727156,0.6965676020186179,58.81818181818182
1469052,V,2017-08-19,-3.6673065800464513,3.054987647682811,34.588235294117645
1258785,S,2013-11-20,-4.855353598902624,1.3921028644604918,33.55555555555556
1503639,VZ,2013-06-22,-4.292874163087991,2.128319231582083,32.92857142857143
1503943,VZ,2014-04-22,-2.9474941033561235,2.785026080466017,31.588235294117645
1504371,VZ,2015-06-24,-3.748553159313498,2.570189491870176,89.64705882352942
1504828,VZ,2016-09-23,-2.939419564098529,1.8771954655317635,290.4705882352941
1505296,VZ,2018-01-04,-3.243235978239692,1.9933629633360201,134.64705882352942
1505297,VZ,2018-01-05,-3.5510940748490287,2.294906969583975,136.76470588235293
114463,AMZN,2015-12-14,-3.1701677109760245,2.236121436266443,216.5882352941176
114464,AMZN,2015-12-15,-2.3722215380498097,2.2853363633654364,180.64705882352942
114511,AMZN,2016-01-31,-2.7187426945538893,2.393526161040445,93.23529411764706
114513,AMZN,2016-02-02,-2.4000911489750973,2.5797058383750406,102.76470588235294
203516,BBY,2019-09-11,-3.410679881293906,2.3242664271660063,37.0
1049928,NKE,2014-01-01,5.5516997455613515,0.5869515938763373,44.16666666666666
694517,HES,2015-05-07,-5.542341070925954,1.8364594634393565,65.66666666666667
998193,MS,2013-07-30,-2.785658736726245,1.1747182555356708,254.0
