Timestamp,1,2,3,4,5,6,7,8,9,10
2019-12-08,MTB,VER,RCL,GME,VRTX,ATO,WAB,ACGL,HAL,ES
2019-12-30,HRL,CB,FANG,NOV,CXO,GME,JNPR,HAL,XEL,MU
2019-12-31,HLT,TSCO,NKE,SYMC,DAL,FDC,ANSS,HPQ,KMI,DATA
2020-01-01,DXC,VFC,AFL,FAST,LULU,BAX,NOV,MAT,INTU,OC
2020-01-04,GME,AFL,AME,IP,TIF,ECL,RCL,ETFC,CNC,DATA
2020-01-07,LB,CSGP,HBAN,TFX,FISV,PCAR,DRI,LYB,ISRG,IR
2020-01-11,STI,DG,ACGL,AGCO,STZ,SBNY,BG,PANW,PEG,DE
2020-01-13,LM,HAL,IP,CPB,PII,GE,AMTD,JWN,JNPR,TSLA
2020-01-14,HSIC,DOV,MHK,TRU,INFO,AKAM,DG,FL,SO,CCL
2020-01-20,WAB,GME,SO,EIX,ACGL,ABC,DLTR,K,ARMK,PEP
2020-01-24,LNC,WYND,BEN,LNT,SHW,NLSN,JEC,ADS,GNW,MAT
2020-01-26,URBN,SABR,CLX,XEL,CTXS,UNH,TXN,DXC,RJF,BHGE
2020-01-30,AFL,PAYX,AFG,ADBE,CTAS,TRV,MHK,FL,NTRS,ARW
2020-01-31,AR,UTHR,GME,VEEV,VRSN,NUAN,CSX,PANW,IVZ,ATVI
2020-02-02,LEN,TXN,TGT,AZO,HES,EXPE,ITW,CHTR,NCLH,WYNN
2020-02-05,GME,Z,ES,CAH,NYCB,EPC,L,FEYE,KMX,TROW
2020-02-06,INFO,GPC,SWN,AZO,VEEV,PFG,LULU,DVN,CSGP,PBCT
2020-02-11,GME,IP,MU,KIM,PRGO,RE,EXC,DLR,ARW,SO
2020-02-22,PSX,BMY,LH,DGX,ATO,ABBV,AEP,AWK,FITB,MTB
2020-02-23,SYMC,DG,MET,CPB,DHR,SIRI,GPN,EBAY,GE,EXPE
2020-02-29,CTXS,MDU,MTB,TSCO,GRMN,GM,CB,PAYX,DGX,MMC
2020-03-11,PGR,KMX,LB,CTSH,CXO,CCI,AFL,GRA,WDC,HSY
2020-03-13,ARW,RL,NKE,PRGO,CCI,AN,MHK,JLL,TAP,IPG
2020-03-15,ETR,MPC,BHGE,BG,JLL,DNB,LNT,EIX,O,MRVL
2020-03-18,CELG,HAS,UNH,MDLZ,BEN,ACGL,SIRI,ENDP,RF,PYPL
2020-03-24,CNP,MET,RMD,IDXX,EMR,AFL,CRM,NBL,ADM,HOLX
2020-03-26,ED,NSC,JNPR,NUE,PXD,PCAR,STZ,NOV,MMC,BHGE
2020-03-27,EXC,CINF,AKAM,JBHT,DE,HES,TROW,SWKS,JLL,MTB
2020-03-30,CMA,FL,CPB,JCI,IFF,GT,EV,ATVI,ETR,NBL
2020-04-02,DNB,HST,AMD,AXTA,LM,TEL,COO,ANTM,JBHT,FLR
2020-04-06,AEP,BDX,CFG,JNPR,PANW,LNT,TSCO,FANG,PAYX,GME
2020-04-15,HST,ECL,TRU,HOLX,STLD,TEL,NEE,VRTX,DXC,FITB
2020-04-17,AMT,GPN,ANSS,WYND,FEYE,STI,EIX,KNX,LYB,AAP
2020-04-18,ACGL,MUR,CBS,KO,STLD,PNR,EMR,BMY,RLGY,DHR
2020-04-26,,,,,,,,,,
